Ticks,ARIMA_error,LR_error,LSTM_error
PCLN,269.1172496560787,26.43080193457757,45.168492946581985
GOOG,115.02654904990163,11.871150311747671,16.283746432115734
GOOGL,166.0940996892066,11.158807780816028,55.929939814632085
AZO,117.01255358543811,10.715571024177494,10.97464483326506
AMZN,250.74778141611398,14.951085323292281,35.611936560505846
CMG,75.95817339794567,7.270943222235216,10.430731713794115
REGN,81.04042411967903,7.94473411854488,8.290654713698427
MTD,138.310377496319,6.505132156875614,46.406360924060294
BLK,85.06472100420838,5.010258559772929,20.193240182806882
BIIB,42.28077989168158,4.573669351398817,5.037188951010483
EQIX,61.28779193507348,5.061299967040475,23.13752725385461
SHW,66.3905116360679,3.630149561667086,17.583989069597905
ADS,20.991092082723956,3.9731688081240133,4.242291000276744
GWW,60.253720560892674,4.648095943267043,7.28964528870288
AGN,33.585499958531095,2.8276475301828685,3.3616650277328346
TDG,31.298549697279938,3.8528402226605456,4.139371574938023
CHTR,32.575897020919086,5.370146779136069,7.864950864575975
ESS,28.353311968854257,2.308694799889211,3.6259237533750013
LMT,46.22773416980819,2.5860859297731715,8.58611789499703
ORLY,40.3664537774479,4.539514554577351,4.911103038583557
ISRG,107.10041016672986,4.863744678542785,31.90714278665059
PSA,10.598468633734557,2.3517468549184515,2.3577568211157547
GS,14.585133512021578,3.0715089038095233,4.637131983394461
RE,19.317113797510785,3.341178907558142,8.590652958838938
MHK,40.77866451183546,2.330980152689181,7.018248384029834
AMG,23.85223001287934,2.209735724696668,2.2743276190389214
SPG,16.758799725934082,2.0947531436488664,2.074580110747033
NOC,48.79174909902875,2.691707269538853,12.438536064697043
ROP,49.56188699201107,2.3503094104734514,26.836904315805004
ULTA,40.0525891797272,4.490374464345203,5.408506602118345
MCK,16.02446574401007,2.430044988887592,2.884017135456573
IBM,24.4771616686489,1.6893730095851203,1.777592563105196
AYI,32.00491462136143,4.162731330911212,4.661839976354754
COO,43.30385513374581,3.214239757676764,10.290520136913974
PXD,22.337274092799895,3.0267215743798066,2.9885564276230294
HUM,47.4851014145406,3.0923616338207465,12.23896187041998
FDX,35.693117456032866,2.401710021156318,8.716597762524751
WHR,9.658771385768464,2.515252841448561,2.7665802068181766
AVB,11.170241788666162,1.5615782286245228,2.2399123379332253
MMM,41.029269076296494,2.136881454520917,8.986987856835547
ILMN,38.46947234990556,3.356353268432033,4.0425299890923005
MLM,14.394164823023983,3.638116011427241,3.5990476696958935
BA,83.23323113408799,3.850827928688908,30.514779402777364
BDX,28.194779266493157,2.2859188050687655,9.4127042099031
AMGN,11.401970276687985,2.060452128324274,2.423162936031946
ALXN,11.831161101763133,2.360801965360813,2.491094060679859
COST,12.315104219964319,2.1767027676797106,3.1104845234665026
BRK.B,21.819511143876632,1.649728113966753,4.010892357767842
GD,18.395840994167198,2.049383379447314,7.500436817177679
SNA,12.46229609818616,1.9288622767276158,2.0549837469131287
